pl_f217xpl_f217,pl_f217xpl_f353,pl_f217xpl_f545,pl_f217xpl_f857,pl_f353xpl_f353,pl_f353xpl_f545,pl_f353xpl_f857,pl_f545xpl_f545,pl_f545xpl_f857,pl_f857xpl_f857
112.19246222395572,456.6193210842215,1189.0819321221823,2138.4410109903956,1896.9292522571395,5057.012250532356,9271.710934518307,13978.02004403396,26681.037497577003,54010.21485207636
179.0483717663746,741.7974391989069,1963.2096804228436,3568.1281154729904,3128.7772797163275,8460.145930151932,15668.524022012456,23678.763135185323,45637.12287649465,93304.97009214787
243.0298271548935,1013.4964002062177,2694.6677376114403,4904.87110004366,4298.78603464172,11670.441210622836,21644.954254861037,32783.10340959784,63280.32576306345,129617.68272663427
303.6765850140238,1269.8617448310554,3378.6307728979027,6139.6611541531,5399.282956936713,14667.369213518114,27162.021813316733,41234.64061580009,79502.57958972231,162746.58070084325
360.8983383996185,1510.6487444785384,4015.1631254353165,7274.884642404213,6429.551867763373,17451.508480718294,32230.380951519328,49040.80750237481,94345.1380008606,192829.04879930394
414.6595558887112,1735.857128316324,4605.438458550235,8315.929237115284,7390.042298773501,20028.620917887132,36874.4478361644,56227.929256702526,107893.20156866427,220092.66413477273
465.069443691724,1946.2057724428546,5152.514315811226,9270.49009348542,8284.635779095874,22413.26263704059,41129.342195517565,62844.54243941056,120258.31515933746,244791.78619453046
512.3591048401025,2142.783144205051,5659.8226982148335,10145.972111184561,9118.330179085175,24620.926378117227,45028.490238576414,68938.24724343384,131544.20847006526,267159.80614904035
556.7430540934919,2326.5777231799916,6130.410200705903,10948.798842882066,9895.603946000454,26665.25948821899,48600.71159799359,74550.44886368529,141839.35454897748,287392.2831285921
598.4188529963118,2498.497630187751,6567.076561168744,11684.941012024832,10620.576818058506,28558.866442215054,51872.99581503183,79719.69453339757,151227.473270349,305677.3014307546
637.574249583154,2659.3996349424847,6972.429730177481,12359.833649482933,11297.10495561834,30313.383498480714,54869.66109302143,84481.0411440465,159782.81702021655,322177.69798277126
674.3832912628309,2810.0773565046466,7348.886565575337,12978.545632096047,11928.764304393664,31939.627290207485,57613.48715719779,88867.22506812877,167575.35651044626,337048.35227799026
708.9949565986116,2951.2108039586174,7698.516841145323,13545.426850923226,12518.631134738343,33446.92228438736,60124.17248299098,92906.60905503728,174666.02622336138,350425.10875581676
741.5683357702753,3083.5212582274457,8023.491301752127,14064.922640331512,13069.931202630416,34844.891354864114,62421.46538922584,96627.85231374354,181114.41335716934,362436.2401653862
772.2309958964785,3207.586780040921,8325.549421749058,14540.644700208888,13585.266354765425,36141.34962484354,64521.70411308815,100054.5911131375,186970.93341107148,373193.7956071735
801.1180679077245,3324.01954948252,8606.5386326156,14976.440081382623,14067.385770667424,37344.55999072911,66442.18697382972,103211.74555424154,192288.61608447973,382814.68673229584
828.3500981380217,3433.3644670230933,8868.093077044414,15375.676123236924,14518.732329114082,38461.82315454623,68198.04176748601,106121.23704979866,197113.70545633638,391400.2997926989
854.0355511982893,3536.110019800363,9111.664978470784,15741.307103246518,14941.490508644014,39499.618716112265,69802.53130743513,108802.41690277227,201486.6190010443,399038.7327333223
878.274263002921,3632.7083450487116,9338.605950274576,16076.085253197803,15337.690256433305,40463.98986612432,71268.01826457487,111273.3528386255,205444.9855162443,405811.5432292543
901.1732528047568,3723.6384554935553,9550.357744720664,16383.093955146534,15709.469655559713,41361.3885761984,72608.44935447858,113553.71896794712,209032.1842395682,411817.4011305272
922.8048582589698,3809.227242662317,9747.869189220113,16664.128765945745,16058.300836675586,42196.08498653869,73831.92841736613,115656.00588210045,212272.4374542954,417105.96910148714
943.2605222148113,3889.8799068439134,9932.351818886276,16921.804476552195,16385.975666751525,42973.46174859024,74950.23981069455,117596.60808653718,215202.44265921524,421761.59059189033
962.5963243957589,3965.8502907815173,10104.538054168546,17157.47509681496,16693.643220140282,43696.841681529746,75969.54874051214,119385.24114119864,217840.66865452356,425821.70786648995
980.895340663689,4037.5080225436104,10265.537094474006,17373.553184369397,16982.94760034932,44371.18849879091,76900.79823630533,121037.11346140983,220221.3442472922,429365.16991346155
998.2004990031475,4105.041385023231,10415.88230282671,17571.057184912137,17254.724590753358,44998.904360165405,77748.65176339906,122559.30724758602,222358.75270977788,432422.7441283748
1014.5624534896679,4168.673508136881,10556.210950375478,17751.234873681038,17509.963928758654,45582.852528978554,78518.80450604417,123960.32404835857,224270.42531085483,435032.83843360905
1030.0504229075075,4228.712121414825,10687.435983112813,17915.98856465736,17750.036658570556,46127.12061264346,79219.84874931416,125252.48222065902,225982.71296140295,437253.4624947926
1044.6882379839062,4285.260849988701,10809.84625147636,18065.92240860963,17975.406765657597,46633.05838044623,79854.71382729788,126439.98253199169,227505.31203966239,439108.24205395795
1058.5114982850298,4338.470453924182,10923.866126131952,18201.891918614314,18186.729019181632,47102.56144846698,80427.31270697479,127528.50406877433,228850.35762178915,440624.2608372971
1071.556154194363,4388.49601899211,11029.926413587262,18324.743491195804,18384.68535284112,47537.574095916876,80941.5609249723,128523.82821881634,230030.04275627094,441828.75325642177
1083.8551186709744,4435.482482808815,11128.44440343847,18435.313598281344,18569.923939880016,47939.99677461381,81401.32858734734,129431.68155762844,231056.40628316812,442748.2652855829
