sp_f600xsp_f600,sp_f600xsp_f857,sp_f600xsp_f1200,sp_f857xsp_f857,sp_f857xsp_f1200,sp_f1200xsp_f1200
14222.29448078244,20976.68158921935,22133.102471828937,32458.52448607918,35863.57945416547,41695.829553969605
14189.311380452547,20928.065621136248,22083.53501159224,32383.44857159524,35783.23320758973,41605.03910476693
14156.467216119803,20879.6686141191,22034.19697820693,32308.727180356298,35703.26506104342,41514.656978073835
14123.660959563382,20831.364040016673,21984.98177993565,32234.180429195265,35623.503379546535,41424.50260951128
14091.00917977267,20783.297007810375,21936.011882705116,32159.998828662763,35544.11957442386,41334.740714560525
14058.910085157195,20736.02982331549,21887.820945843152,32086.98056469141,35465.87441296873,41246.098962814154
14027.227126529844,20689.389074779054,21840.26058194303,32014.91026583706,35388.58775071333,41158.430214523665
13995.631732262696,20642.903665960053,21792.878145747116,31943.115986988167,35311.616653912926,41071.121369862754
13963.840765229734,20596.153705749864,21745.28716198007,31870.96045039889,35234.37271956791,40983.65846836788
13932.01779732086,20549.37671721586,21697.69462286052,31798.793107205303,35157.1551641773,40896.26554793134
13900.236985861717,20502.689709521317,21650.22130674869,31726.803095963885,35080.16395557446,40809.161093039875
13868.661576221966,20456.33402273179,21603.093161771158,31655.350066491046,35003.73743157199,40722.66621744672
13837.159799148765,20410.1024076529,21556.12312913227,31584.112717463395,34927.59703215696,40636.56747813704
13805.7405230684,20364.10343774894,21509.53962732643,31513.408563078287,34852.262941620895,40551.62600782945
13774.252013804828,20318.01231897381,21462.89407131536,31442.582602198672,34776.8559592965,40466.67066305972
13742.76787165689,20271.936696756296,21416.27796362252,31371.794845114135,34701.514449034104,40381.82320028228
13711.291968444422,20225.899323056943,21369.735687137025,31301.10447423086,34626.33529988476,40297.23323666187
13679.744324948379,20179.7970390156,21323.165365124365,31230.362692429968,34551.148143176455,40212.67391763837
13648.168640669468,20133.650021095,21276.548844993573,31159.547856574398,34475.88404060706,40128.03230316301
13616.670387982766,20087.631652587792,21230.0700134959,31088.950130836245,34400.853600614835,40043.64290596643
13585.576545325795,20042.24794792939,21184.23622063367,31019.3687205526,34326.87345402015,39960.35497334181
13554.542565154903,19996.937568957997,21138.463688332922,30949.881157459735,34252.974213667156,39877.13874988328
13523.590581035463,19951.766398505955,21092.85297712903,30880.632521649546,34179.35657811915,39794.26160416902
13492.797123147564,19906.858618087157,21047.53902457907,30811.8065731401,34106.21269648133,39711.92588219364
13462.204425212078,19862.24655065789,21002.51788465529,30743.417558270616,34033.503708902615,39630.02591017546
13432.17979457505,19818.44996510735,20958.28320246817,30676.203249074126,33961.93154809428,39549.230008863255
13402.395876534143,19775.003899610485,20914.391257934385,30609.499415547987,33890.858612460215,39468.92248540239
13372.58393713846,19731.51363036349,20870.453031012312,30542.722499420117,33819.70694300363,39388.5286332241
13342.702550022403,19687.953277232755,20826.49303412883,30475.889099486296,33748.58029743873,39308.27288116083
13312.795257220705,19644.359352631298,20782.50357441253,30409.009860737227,33677.41025744885,39227.972324674105
13282.884902634101,19600.784000860473,20738.544179965324,30342.182112056216,33606.29969832159,39147.73226387333
13253.225286365687,19557.62606076427,20695.025393968364,30276.046164092288,33535.92108502138,39068.276962421995
13223.604982058529,19514.529900250815,20651.577993063376,30210.00950991408,33465.661656667755,38988.97239745324
13194.129958568392,19471.71108405835,20608.4997768908,30144.502206862366,33396.10828859517,38910.61468906897
13164.679589381369,19428.972537303714,20565.57430660668,30079.190124019748,33326.87743952637,38832.73690175665
13135.22774820258,19386.23880467791,20522.662238370096,30013.89493409491,33257.678582692526,38754.91327863977
13105.783729585615,19343.54738828395,20479.832341929025,29948.708154178632,33188.660218748424,38677.37596972158
13076.371904631136,19300.92419898666,20437.093611872802,29883.648027138282,33119.80607403249,38600.05696032029
13046.956962625618,19258.28748525111,20394.333947765113,29818.55382922687,33050.906514232964,38522.68118846266
13017.435434820043,19215.484632128377,20351.404549871917,29753.191367815998,32981.725540986634,38445.00437926525
12988.295204018292,19173.2789916937,20309.079524498367,29688.78234362646,32913.526346360326,38368.355026002115
12959.426286791972,19131.44406430591,20267.089099719058,29624.894092777024,32845.81009083166,38292.165910717515
12930.525196452341,19089.556850265708,20225.043376873942,29560.92023989495,32778.00241569814,38215.87834227027
12901.84441939429,19048.014974209676,20183.38373793104,29497.49532535806,32710.828765175364,38140.35871518195
